DIPP-MOTION XYGraphData,,,,,,,,
Info,,,,,,,,
[ポイント_X_座標値] - [ポイント_Y_座標値],,,,,,,,
横軸単位,mm,,,,,,,
縦軸単位,mm,,,,,,,
系列名,[1]P 1,[2]P 2,[3]P 3,[4]P 4,,,,
色,255,65280,16711680,65535,,,,
時間,P 1(X),P 1(Y),P 2(X),P 2(Y),P 3(X),P 3(Y),P 4(X),P 4(Y)
0.049,3.41E-13,7.11E-13,-22.91366588,-216.8415218,-58.2480875,-332.0982016,-20.33946928,-333.0110456
0.05,6.93E-12,-1.39E-12,-22.82140261,-216.9454392,-58.19819074,-332.1813288,-20.29840128,-333.1033616
0.051,7.39E-12,1.56E-12,-22.70900721,-217.0455424,-58.12427923,-332.2625892,-20.23770552,-333.1916515
0.052,-9.09E-12,-2.07E-12,-22.63041986,-217.1233554,-58.08022827,-332.3238243,-20.2120193,-333.2576426
0.053,3.41E-13,-3.98E-13,-22.51292334,-217.1912123,-57.99320622,-332.3767813,-20.14932255,-333.313872
0.054,1.52E-11,-1.82E-12,-22.3911857,-217.2487092,-57.89857295,-332.4231947,-20.08498047,-333.3601394
0.055,1.25E-12,-8.53E-14,-22.30409802,-217.3115747,-57.8360229,-332.4795406,-20.05858126,-333.4123763
0.056,1.13E-11,5.12E-13,-22.20715659,-217.3799758,-57.76185571,-332.546734,-20.0263549,-333.4718138
0.057,-8.30E-12,-1.68E-12,-22.09228304,-217.4389004,-57.66879637,-332.6105108,-19.98028995,-333.5237262
0.058,6.59E-12,-2.10E-12,-21.97274744,-217.4882536,-57.57091831,-332.6715239,-19.93383525,-333.5689027
0.059,4.55E-13,-2.64E-12,-21.88281217,-217.5239038,-57.50328728,-332.7263897,-19.92143187,-333.6040961
0.06,1.82E-12,3.61E-12,-21.7411937,-217.5568109,-57.38542309,-332.7868161,-19.86197501,-333.641151
0.061,-5.91E-12,2.33E-12,-21.63022142,-217.5759949,-57.30006235,-332.8414054,-19.83757666,-333.6688061
0.062,-5.00E-12,-5.68E-14,-21.52704703,-217.5822871,-57.22492882,-332.8904665,-19.82533593,-333.6875066
0.063,1.76E-11,2.02E-12,-21.42120322,-217.5799882,-57.14969078,-332.9367732,-19.81429646,-333.7001631
0.064,1.11E-11,1.99E-12,-21.25085618,-217.5830106,-57.01264997,-332.992711,-19.74213537,-333.7192975
0.065,-9.09E-13,-3.13E-12,-21.16112141,-217.5659712,-56.95905748,-333.03137,-19.75347911,-333.7181362
0.066,-7.62E-12,-1.51E-12,-21.04582474,-217.5575562,-56.8828747,-333.0799097,-19.74166444,-333.7239752
0.067,7.50E-12,3.04E-12,-20.8578767,-217.5548459,-56.73714776,-333.1338833,-19.65911286,-333.7325045
0.068,-1.05E-11,-4.09E-12,-20.74644873,-217.5435513,-56.67118365,-333.1774753,-19.65450672,-333.7280447
0.069,-7.16E-12,1.56E-12,-20.62373244,-217.5398221,-56.59730957,-333.2253082,-19.63954858,-333.7253551
0.07,1.65E-11,-2.56E-13,-20.43347612,-217.5495232,-56.45887036,-333.2826307,-19.55749767,-333.7289103
0.071,1.13E-11,1.71E-12,-20.30018482,-217.5559726,-56.38010826,-333.3299368,-19.53236999,-333.7206379
0.072,4.66E-12,2.13E-12,-20.13697958,-217.5767824,-56.27362734,-333.3828721,-19.47698685,-333.7167195
0.073,-7.50E-12,-1.36E-12,-19.97258637,-217.6001895,-56.16765608,-333.4307085,-19.41903051,-333.7074067
0.074,2.47E-11,-1.99E-13,-19.82602978,-217.6237726,-56.08071187,-333.4719968,-19.37882509,-333.6913623
0.075,2.16E-12,-5.40E-13,-19.71140689,-217.6482528,-56.02638454,-333.5084303,-19.37093795,-333.6708998
0.076,-2.16E-12,9.66E-13,-19.55690314,-217.6776195,-55.93235228,-333.5449705,-19.32402479,-333.6516009
